p_name,xlong,ylat
25 Mile Creek,-99.746208,36.427345
25 Mile Creek,-99.776581,36.485386
25 Mile Creek,-99.720284,36.424934
25 Mile Creek,-99.775963,36.458096
25 Mile Creek,-99.758476,36.444984
25 Mile Creek,-99.812325,36.513859
25 Mile Creek,-99.741119,36.50259
25 Mile Creek,-99.742203,36.432888
25 Mile Creek,-99.772133,36.431931
25 Mile Creek,-99.752739,36.504105
25 Mile Creek,-99.714981,36.490211
25 Mile Creek,-99.762627,36.515823
25 Mile Creek,-99.799377,36.440704
25 Mile Creek,-99.782372,36.484463
25 Mile Creek,-99.751343,36.446674
25 Mile Creek,-99.724426,36.491375
25 Mile Creek,-99.731606,36.44109
25 Mile Creek,-99.725624,36.437126
25 Mile Creek,-99.733086,36.451591
25 Mile Creek,-99.74147,36.451477
25 Mile Creek,-99.810005,36.476582
25 Mile Creek,-99.79464,36.438831
25 Mile Creek,-99.764076,36.440956
25 Mile Creek,-99.776512,36.429882
25 Mile Creek,-99.788475,36.476807
25 Mile Creek,-99.70752,36.490849
25 Mile Creek,-99.752548,36.428902
25 Mile Creek,-99.741096,36.423683
25 Mile Creek,-99.781944,36.433651
25 Mile Creek,-99.814697,36.48975
25 Mile Creek,-99.775742,36.445465
25 Mile Creek,-99.790665,36.44141
25 Mile Creek,-99.821129,36.517494
25 Mile Creek,-99.782089,36.473541
25 Mile Creek,-99.826469,36.515972
25 Mile Creek,-99.737236,36.498882
25 Mile Creek,-99.796494,36.503357
25 Mile Creek,-99.720001,36.489346
25 Mile Creek,-99.761673,36.502792
25 Mile Creek,-99.733009,36.489468
25 Mile Creek,-99.778603,36.502522
25 Mile Creek,-99.714928,36.424843
25 Mile Creek,-99.792625,36.474033
25 Mile Creek,-99.809586,36.495914
25 Mile Creek,-99.769722,36.444931
25 Mile Creek,-99.80706,36.513935
25 Mile Creek,-99.745461,36.448009
25 Mile Creek,-99.786308,36.44593
25 Mile Creek,-99.735718,36.423359
25 Mile Creek,-99.762489,36.454903
25 Mile Creek,-99.756958,36.491249
25 Mile Creek,-99.750793,36.488712
25 Mile Creek,-99.740372,36.489838
25 Mile Creek,-99.787033,36.501724
